,Country Name,Country Code,Year,Value
0,Afghanistan,AFG,1960,8996973
1,Afghanistan,AFG,1961,9169410
2,Afghanistan,AFG,1962,9351441
3,Afghanistan,AFG,1963,9543205
4,Afghanistan,AFG,1964,9744781
5,Afghanistan,AFG,1965,9956320
6,Afghanistan,AFG,1966,10174836
7,Afghanistan,AFG,1967,10399926
8,Afghanistan,AFG,1968,10637063
9,Afghanistan,AFG,1969,10893776
10,Albania,ALB,1960,1608800
11,Albania,ALB,1961,1659800
12,Albania,ALB,1962,1711319
13,Albania,ALB,1963,1762621
14,Albania,ALB,1964,1814135
15,Albania,ALB,1965,1864791
16,Albania,ALB,1966,1914573
17,Albania,ALB,1967,1965598
18,Albania,ALB,1968,2022272
19,Albania,ALB,1969,2081695
20,Algeria,DZA,1960,11057863
21,Algeria,DZA,1961,11336339
22,Algeria,DZA,1962,11619828
23,Algeria,DZA,1963,11912803
24,Algeria,DZA,1964,12221675
25,Algeria,DZA,1965,12550891
26,Algeria,DZA,1966,12900557
27,Algeria,DZA,1967,13268877
28,Algeria,DZA,1968,13652081
29,Algeria,DZA,1969,14043413
30,Angola,AGO,1960,5357195
31,Angola,AGO,1961,5441333
32,Angola,AGO,1962,5521400
33,Angola,AGO,1963,5599827
34,Angola,AGO,1964,5673199
35,Angola,AGO,1965,5736582
36,Angola,AGO,1966,5787044
37,Angola,AGO,1967,5827300
38,Angola,AGO,1968,5868203
39,Angola,AGO,1969,5928359
40,Argentina,ARG,1960,20481779
41,Argentina,ARG,1961,20817269
42,Argentina,ARG,1962,21153042
43,Argentina,ARG,1963,21488912
44,Argentina,ARG,1964,21824520
45,Argentina,ARG,1965,22159570
46,Argentina,ARG,1966,22494006
47,Argentina,ARG,1967,22827858
48,Argentina,ARG,1968,23161250
49,Argentina,ARG,1969,23494918
